ts1,cluster
A,1
AAL,2
AAP,1
AAPL,1
ABBV,1
ABC,1
ABMD,1
ABT,1
ACN,1
ADBE,1
ADI,1
ADM,1
ADP,1
ADSK,1
AEE,1
AEP,1
AES,1
AFL,1
AIG,3
AIZ,1
AJG,1
AKAM,1
ALB,1
ALGN,1
ALK,3
ALL,1
ALLE,1
AMAT,1
AMCR,1
AMD,1
AME,1
AMGN,1
AMP,1
AMT,1
AMZN,1
ANET,1
ANSS,1
ANTM,1
AON,1
AOS,1
APA,2
APD,1
APH,1
APTV,1
ARE,1
ATO,1
ATVI,1
AVB,1
AVGO,1
AVY,1
AWK,1
AXP,1
AZO,1
BA,3
BAC,1
BAX,1
BBWI,3
BBY,1
BDX,1
BEN,3
BIIB,3
BIO,1
BK,1
BKNG,1
BKR,2
BLK,1
BLL,1
BMY,1
BR,1
BSX,1
BWA,1
BXP,3
C,1
CAG,3
CAH,3
CAT,1
CB,1
CBOE,1
CBRE,1
CCI,1
CCL,2
CDNS,1
CDW,1
CE,1
CERN,1
CF,1
CFG,1
CHD,1
CHRW,1
CHTR,1
CI,1
CINF,1
CL,1
CLX,1
CMA,1
CMCSA,1
CME,1
CMG,1
CMI,1
CMS,1
CNC,1
CNP,1
COF,1
COG,3
COO,1
COP,1
COST,1
CPB,3
CPRT,1
CRL,1
CRM,1
CSCO,1
CSX,1
CTAS,1
CTLT,1
CTSH,1
CTXS,1
CVS,3
CVX,1
CZR,1
D,1
DAL,3
DD,3
DE,1
DFS,1
DG,1
DGX,1
DHI,1
DHR,1
DIS,1
DISCA,3
DISCK,3
DISH,2
DLR,1
DLTR,1
DOV,1
DPZ,1
DRE,1
DRI,1
DTE,1
DUK,1
DVA,1
DVN,2
DXC,3
DXCM,1
EA,1
EBAY,1
ECL,1
ED,1
EFX,1
EIX,3
EL,1
EMN,1
EMR,1
ENPH,1
EOG,3
EQIX,1
EQR,1
ES,1
ESS,1
ETN,1
ETR,1
ETSY,1
EVRG,1
EW,1
EXC,1
EXPD,1
EXPE,3
EXR,1
F,3
FANG,3
FAST,1
FB,1
FBHS,1
FCX,1
FDX,1
FE,1
FFIV,1
FIS,1
FISV,1
FITB,1
FLT,1
FMC,1
FRC,1
FRT,3
FTNT,1
FTV,1
GD,1
GE,2
GILD,3
GIS,3
GL,1
GLW,1
GM,1
GNRC,1
GOOG,1
GOOGL,1
GPC,1
GPN,1
GPS,3
GRMN,1
GS,1
GWW,1
HAL,2
HAS,1
HBAN,1
HBI,3
HCA,1
HD,1
HES,1
HIG,1
HII,3
HLT,1
HOLX,1
HON,1
HPE,1
HPQ,1
HRL,1
HSIC,1
HST,3
HSY,1
HUM,1
IBM,3
ICE,1
IDXX,1
IEX,1
IFF,1
ILMN,1
INCY,3
INFO,1
INTC,1
INTU,1
IP,1
IPG,1
IPGP,1
IQV,1
IRM,1
ISRG,1
IT,1
ITW,1
IVZ,3
J,1
JBHT,1
JCI,1
JKHY,1
JNJ,1
JNPR,1
JPM,1
K,3
KEY,1
KEYS,1
KHC,2
KIM,3
KLAC,1
KMB,1
KMI,3
KMX,1
KO,1
KR,1
KSU,1
L,1
LDOS,1
LEG,3
LEN,1
LH,1
LHX,1
LIN,1
LKQ,1
LLY,1
LMT,1
LNC,1
LNT,1
LOW,1
LRCX,1
LUMN,3
LUV,3
LVS,3
LYB,1
LYV,1
MA,1
MAA,1
MAR,1
MAS,1
MCD,1
MCHP,1
MCK,1
MCO,1
MDLZ,1
MDT,1
MET,1
MGM,1
MHK,3
MKC,1
MKTX,1
MLM,1
MMC,1
MMM,4
MNST,1
MO,3
MOS,3
MPC,1
MPWR,1
MRK,1
MRO,3
MS,1
MSCI,1
MSFT,1
MSI,1
MTB,3
MTD,1
MU,1
NCLH,3
NDAQ,1
NEE,1
NEM,1
NFLX,1
NI,1
NKE,1
NLOK,1
NLSN,2
NOC,1
NOV,2
NOW,1
NRG,1
NSC,1
NTAP,1
NTRS,1
NUE,1
NVDA,1
NVR,1
NWL,2
NWS,1
NWSA,1
NXPI,1
O,1
ODFL,1
OKE,1
OMC,3
ORCL,1
ORLY,1
OXY,2
PAYC,1
PAYX,1
PBCT,1
PCAR,1
PEAK,1
PEG,1
PENN,1
PEP,1
PFE,1
PFG,1
PG,1
PGR,1
PH,1
PHM,1
PKG,1
PKI,1
PLD,1
PM,1
PNC,1
PNR,1
PNW,1
POOL,1
PPG,1
PPL,3
PRGO,2
PRU,1
PSA,1
PSX,3
PTC,1
PVH,3
PWR,1
PXD,3
PYPL,1
QCOM,1
QRVO,1
RCL,3
RE,1
REG,3
REGN,1
RF,1
RHI,1
RJF,1
RL,1
RMD,1
ROK,1
ROL,1
ROP,1
ROST,1
RSG,1
RTX,1
SBAC,1
SBUX,1
SCHW,1
SEE,3
SHW,1
SIVB,1
SJM,3
SLB,2
SNA,1
SNPS,1
SO,1
SPG,3
SPGI,1
SRE,1
STE,1
STT,1
STX,1
STZ,1
SWK,1
SWKS,1
SYF,1
SYK,1
SYY,1
T,3
TAP,2
TDG,1
TDY,1
TECH,1
TEL,1
TER,1
TFC,1
TFX,1
TGT,1
TJX,1
TMO,1
TMUS,1
TPR,3
TRMB,1
TROW,1
TRV,1
TSCO,1
TSLA,1
TSN,1
TT,1
TTWO,1
TWTR,1
TXN,1
TXT,1
TYL,1
UA,3
UAA,3
UAL,3
UDR,1
UHS,1
ULTA,1
UNH,1
UNM,3
UNP,1
UPS,1
URI,1
USB,1
V,1
VFC,1
VIAC,3
VLO,3
VMC,1
VNO,2
VRSK,1
VRSN,1
VRTX,1
VTR,3
VTRS,2
VZ,1
WAB,3
WAT,1
WBA,2
WDC,3
WEC,1
WELL,1
WFC,3
WHR,1
WLTW,1
WM,1
WMB,3
WMT,1
WRB,1
WRK,3
WST,1
WU,1
WY,1
WYNN,3
XEL,1
XLNX,1
XOM,2
XRAY,3
XYL,1
YUM,1
ZBH,1
ZBRA,1
ZION,1
ZTS,1
